,Ticker,Currency,Open,Max,Min,Close,Volume_in_thousands,Date,Year,Liczba akcji,WK,Aktywa obrotowe,Zobowiązania długoterminowe,Zobowiązania krótkoterminowe,Przychody ze sprzedaży na akcję,Zysk na akcję,Zysk operacyjny na akcję,Enterprise Value na akcję,EV / P,EV / EBIT,EV / EBITDA,C/ZO,C/WK,Cena / WK Grahama,C/P,C/Z,Close_pct,Open_pct,Max_pct,Min_pct
25,06MAGNA,PLN,0.21,0.21,0.2,0.21,4.46,03-01-2014,2014/Q1,13921975.0,4.09,31218.0,2102.0,3140.0,0.03,-1.22,-0.46,2.17,65.83,-4.72,-6.59,-0.45652173913043476,0.05134474327628362,4.006104540251812e-05,7.0,-0.1721311475409836,-4.545454545454552,-4.545454545454552,-8.695652173913048,-9.090909090909083
26,06MAGNA,PLN,0.0,0.0,0.0,0.2,0.0,03-01-2020,2020/Q1,13921975.0,1.67,12476.0,2217.0,3785.0,0.35,0.29,0.32,0.16,0.45,0.48,0.42,0.625,0.11976047904191618,3.332222592469177e-05,0.5714285714285715,0.6896551724137931,-4.761904761904756,-100.0,-100.0,-100.0
27,06MAGNA,PLN,0.0,0.0,0.0,0.2,0.0,03-01-2019,2019/Q1,13921975.0,1.4,3659.0,2325.0,5205.0,0.45,-0.36,-0.08,0.31,0.7,-3.72,-26.33,-2.5,0.14285714285714288,2.656042496679947e-05,0.4444444444444445,-0.5555555555555556,0.0,,,
28,06MAGNA,PLN,2.29,2.4,2.13,2.15,1.32,05-01-2015,2015/Q1,13921975.0,3.61,15195.0,230.0,5397.0,0.35,-0.48,-0.33,1.92,5.49,-5.76,-6.95,-6.515151515151515,0.5955678670360111,0.00038208636929091877,6.142857142857143,-4.479166666666667,974.9999999999998,inf,inf,inf
29,06MAGNA,PLN,0.4,0.43,0.4,0.43,26.36,04-01-2018,2018/Q1,13921975.0,1.84,8268.0,2022.0,6663.0,0.28,0.16,-0.09,0.25,0.9,-2.76,-9.09,-4.777777777777778,0.23369565217391303,4.9510650546919975e-05,1.5357142857142856,2.6875,-80.0,-82.53275109170306,-82.08333333333333,-81.2206572769953
30,06MAGNA,PLN,1.75,1.82,1.75,1.82,8.19,05-01-2016,2016/Q1,13921975.0,2.01,15376.0,2000.0,3400.0,0.44,0.11,0.1,4.07,9.31,38.85,24.46,18.2,0.9054726368159205,0.00033703703703703706,4.136363636363637,16.545454545454547,323.2558139534884,337.5,323.2558139534884,337.5
31,06MAGNA,PLN,0.7,0.71,0.68,0.68,200.21,03-01-2017,2017/Q1,13921975.0,1.64,7597.0,2020.0,5762.0,0.04,-1.88,-0.28,0.62,17.37,-2.21,-2.64,-2.4285714285714284,0.41463414634146345,8.738113595476742e-05,17.0,-0.3617021276595745,-62.637362637362635,-60.00000000000001,-60.98901098901099,-61.142857142857146
32,06MAGNA,PLN,1.11,1.11,1.09,1.1,336.94,06-01-2010,2010/Q1,8673714.0,5.18,23043.0,9299.0,57690.0,18.69,-0.64,-0.08,14.46,0.77,-173.0,10.82,-13.75,0.21235521235521237,1.6420606368209708e-05,0.0588550026752274,-1.71875,61.76470588235294,58.571428571428584,56.338028169014095,60.29411764705883
33,06MAGNA,PLN,0.8,0.8,0.78,0.78,49.74,05-01-2011,2011/Q1,8673714.0,2.48,53890.0,10116.0,66584.0,10.36,-2.87,-3.78,12.45,1.2,-3.29,-4.55,-0.20634920634920637,0.31451612903225806,1.016949152542373e-05,0.07528957528957529,-0.27177700348432055,-29.09090909090909,-27.927927927927932,-27.927927927927932,-28.440366972477072
34,06MAGNA,PLN,0.34,0.35,0.33,0.34,125.05,04-01-2012,2012/Q1,8673714.0,2.46,93652.0,595.0,96754.0,8.49,0.09,0.06,8.99,1.06,154.12,12.26,5.666666666666667,0.13821138211382114,3.4925885217105467e-06,0.04004711425206125,3.777777777777778,-56.41025641025641,-57.49999999999999,-56.25,-57.692307692307686
