Ticker,Currency,Open,Max,Min,Close,Volume_in_thousands,Date
VARIANT,PLN,4.2000,4.2000,4.0700,4.1400,22.00,04-01-2010
VINDEXUS,PLN,6.2000,6.2000,6.0000,6.0100,10.64,04-01-2010
VISTULA,PLN,2.2700,2.2900,2.2300,2.2500,863.35,04-01-2010
WANDALEX,PLN,2.9300,3.0700,2.9300,3.0300,37.87,04-01-2010
WIKANA,PLN,0.1000,0.1100,0.1000,0.1100,30.50,04-01-2010
WILBO,PLN,2.7000,2.7400,2.6800,2.7000,238.85,04-01-2010
WISTIL,PLN,0.0000,0.0000,0.0000,26.2000,0.00,04-01-2010
WOJAS,PLN,4.0000,4.0000,3.9800,3.9900,20.22,04-01-2010
ZELMER,PLN,36.0000,38.8000,36.0000,38.8000,1 101.91,04-01-2010
ZETKAMA,PLN,11.4800,11.4800,11.2000,11.4500,12.16,04-01-2010
ZNTKLAPY,PLN,5.4000,5.4000,4.8200,5.4000,795.55,04-01-2010
ZPUE,PLN,131.5000,131.5000,128.0000,131.2000,12.32,04-01-2010
ZREMB,PLN,0.9500,0.9700,0.9400,0.9700,269.59,04-01-2010
CEZ,PLN,135.0000,138.9000,134.6000,137.7000,38 201.58,04-01-2010
CHEMOS,PLN,1.1000,1.1400,1.0800,1.1200,1 343.55,04-01-2010
CIECH,PLN,37.1000,37.1500,36.7000,36.8000,1 751.07,04-01-2010
CITYINTER,PLN,3.3800,3.4100,3.2200,3.3400,546.36,04-01-2010
COGNOR,PLN,2.5400,2.7200,2.5400,2.6400,1 531.66,04-01-2010
COMARCH,PLN,95.9500,96.0000,94.4000,95.0000,429.44,04-01-2010
COMP,PLN,65.0000,67.3500,64.3000,67.3500,45.21,04-01-2010
COMPLEX,PLN,2.0200,2.0200,1.9500,1.9800,172.86,04-01-2010
CORMAY,PLN,4.0800,4.9200,4.0800,4.8200,1 971.39,04-01-2010
CPENERGIA,PLN,2.1400,2.2100,2.1100,2.2000,198.74,04-01-2010
CYFRPLSAT,PLN,13.7300,13.9000,13.6400,13.8500,10 538.54,04-01-2010
DEBICA,PLN,66.4000,66.5000,65.2500,65.3500,238.70,04-01-2010
DECORA,PLN,20.4000,21.7500,20.0000,20.0000,70.68,04-01-2010
